len,supp,dose
99,Flooding,40
99,Flooding,40
100,Flooding,40
99,Flooding,40
100,Flooding,40
100,Flooding,40
100,Flooding,40
99,Flooding,40
99,Flooding,40
99,Flooding,40
88,Flooding,60
96,Flooding,60
98,Flooding,60
98,Flooding,60
81,Flooding,60
95,Flooding,60
88,Flooding,60
95,Flooding,60
81,Flooding,60
90,Flooding,60
45,Flooding,80
63,Flooding,80
48,Flooding,80
46,Flooding,80
61,Flooding,80
66,Flooding,80
46,Flooding,80
55,Flooding,80
66,Flooding,80
94,Flooding,80
16,Flooding,100
45,Flooding,100
20,Flooding,100
40,Flooding,100
61,Flooding,100
28,Flooding,100
48,Flooding,100
20,Flooding,100
54,Flooding,100
26,Flooding,100
100,Forwarding Game,40
100,Forwarding Game,40
99,Forwarding Game,40
100,Forwarding Game,40
99,Forwarding Game,40
100,Forwarding Game,40
96,Forwarding Game,40
100,Forwarding Game,40
96,Forwarding Game,40
100,Forwarding Game,40
93,Forwarding Game,60
99,Forwarding Game,60
91,Forwarding Game,60
85,Forwarding Game,60
100,Forwarding Game,60
96,Forwarding Game,60
100,Forwarding Game,60
100,Forwarding Game,60
85,Forwarding Game,60
100,Forwarding Game,60
40,Forwarding Game,80
55,Forwarding Game,80
62,Forwarding Game,80
56,Forwarding Game,80
69,Forwarding Game,80
42,Forwarding Game,80
35,Forwarding Game,80
54,Forwarding Game,80
42,Forwarding Game,80
65,Forwarding Game,80
16,Forwarding Game,100
45,Forwarding Game,100
22,Forwarding Game,100
39,Forwarding Game,100
24,Forwarding Game,100
45,Forwarding Game,100
30,Forwarding Game,100
23,Forwarding Game,100
18,Forwarding Game,100
38,Forwarding Game,100
95,Volunteer's Dilemma,40
96,Volunteer's Dilemma,40
97,Volunteer's Dilemma,40
95,Volunteer's Dilemma,40
96,Volunteer's Dilemma,40
98,Volunteer's Dilemma,40
95,Volunteer's Dilemma,40
99,Volunteer's Dilemma,40
99,Volunteer's Dilemma,40
100,Volunteer's Dilemma,40
76,Volunteer's Dilemma,60
90,Volunteer's Dilemma,60
94,Volunteer's Dilemma,60
72,Volunteer's Dilemma,60
87,Volunteer's Dilemma,60
88,Volunteer's Dilemma,60
92,Volunteer's Dilemma,60
92,Volunteer's Dilemma,60
85,Volunteer's Dilemma,60
74,Volunteer's Dilemma,60
78,Volunteer's Dilemma,80
60,Volunteer's Dilemma,80
49,Volunteer's Dilemma,80
67,Volunteer's Dilemma,80
53,Volunteer's Dilemma,80
63,Volunteer's Dilemma,80
47,Volunteer's Dilemma,80
79,Volunteer's Dilemma,80
39,Volunteer's Dilemma,80
55,Volunteer's Dilemma,80
16,Volunteer's Dilemma,100
42,Volunteer's Dilemma,100
28,Volunteer's Dilemma,100
20,Volunteer's Dilemma,100
46,Volunteer's Dilemma,100
45,Volunteer's Dilemma,100
30,Volunteer's Dilemma,100
33,Volunteer's Dilemma,100
55,Volunteer's Dilemma,100
35,Volunteer's Dilemma,100
